Name,ORE_sdE3_r1_GTGGCC_L004,ORE_sdE3_r2_TGACCA_L005,ORE_w_r1_ATCACG_L001,ORE_w_r2_GTTTCG_L002,OREf_SAMm_sdE3_ATTCCT_L002,OREf_SAMm_w_GTCCGC_L006,SAM_sdE3_r1_ATGTCA_L006,SAM_sdE3_r2_GCCAAT_L007,SAM_w_r1_ACTTGA_L003,SAM_w_r2_GAGTGG_L004,SAMf_OREm_sdE3_TAGCTT_L001,SAMf_OREm_w_CAGATC_L005
FBtr0343684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146101,0.0,0.0
FBtr0080699,1.59584,2.57267,4.98867,5.42989,3.59216,2.75873,4.38276,3.65863,4.90005,3.55362,2.4404,6.83985
FBtr0345641,3.69595,3.52604,0.0,0.343003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.385375
FBtr0080700,11.2482,7.80846,10.248,9.50234,8.61977,8.46523,11.1917,6.43664,13.1979,8.95377,6.21866,9.00803
FBtr0346621,0.0,1.26053,1.99088,0.439592,3.40028,1.46242,1.30946,3.57472,0.0,0.0,0.0,0.483224
FBtr0080702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0080703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0307486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FBtr0332180,0.0,0.0,0.00680973,0.0,0.0,0.0,0.01615,0.0,0.00761252,0.00690571,0.0,0.0119655
FBtr0344791,0.0,0.0,3.62737e-06,0.0,0.0,0.0209877,4.9699e-06,0.0,6.69839e-06,2.21488e-06,0.0,4.43704e-06
FBtr0344792,0.0,0.0,5.22789e-10,0.0,0.0,0.0,0.0,0.0,1.73989e-09,1.7602e-10,0.0,4.18051e-10
FBtr0080704,0.0467152,0.0134825,0.0366922,0.0724094,0.0,0.0,0.0,0.0,0.10281,0.074445,0.0,0.0160963
